," Cooтношение дебиторской задолженности к активам компании, %"," Активы  всего, RUB"," Выручка, RUB"," Доля рабочего капитала в активах компании, %"," Коэффициент абсолютной ликвидности, %"," Коэффициент быстрой ликвидности, %"," Коэффициент обеспеченности собственными оборотными средствами, %"," Коэффициент оборачиваемости совокупных активов, %"," Коэффициент соотношения заемных и собственных средств, %"," Коэффициент текущей ликвидности, %"," Краткосрочные обязательства, RUB"," Кредиторская задолженность, RUB"," Нераспределенная прибыль (непокрытый убыток), RUB"," Период оборота активов, дни"," Период оборота запасов, дни"," Период оборота основных средств, дни"," Период погашения дебиторской задолженности, дни"," Период погашения кредиторской задолженности, дни"," Рентабельность активов (ROA), %"," Рентабельность затрат, %"," Рентабельность капитала (ROE), %"," Рентабельность продаж, %"," Себестоимость продаж, RUB"," Собственный оборотный капитал, RUB"," Соотношение чистого долга к капиталу, %"
count,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0,19971.0
mean,0.4996970407090281,178398567.2601272,273176410.1681438,0.08476438836312654,0.177453016874468,0.8447278003104501,0.044764558609984476,2.2323815382304346,21.372171658905412,1.163943973761955,146329522.39467227,133814739.884132,21729013.2195183,250.97686645636173,63.498552901707484,20.219438185368787,123.74943668319062,230.72377597516396,0.04123239196835412,0.033995954133493565,0.5084006209003055,0.030244679785689246,246071512.89770168,11923884.696209503,-0.09369688548395173
std,0.21039265061285564,162588829.77939892,224327557.64772162,0.16644904439262792,0.20681743767893165,0.3384193487341702,0.21431383369184723,1.4511743504887453,44.5033892787782,0.3411091591364593,140634558.05067617,132171271.00042368,33410480.396951653,192.5306418149372,78.6703798287675,34.80102664992305,108.73198644544618,281.0414815148393,0.061950997190207316,0.05463561309239305,0.6913226332940156,0.050394801101685864,209345131.83415204,47967173.20387734,5.241386684956776
min,0.0,124000.0,78000.0,-0.552,-0.0107,0.0322,-1.9102,0.1625,-589.1726,0.4653,76000.0,1000.0,-133753000.0,36.0,0.0,-11.4,2.0,2.44,-0.3463,-0.2963,-5.2289,-0.421,20000.0,-277354000.0,-52.9138
25%,0.34195,59606500.0,112774500.0,-0.0043,0.0273,0.6244,-0.0298,1.1834500000000001,2.96765,0.9954,45549500.0,40113000.0,2709000.0,126.0,14.7,1.8,55.0,96.60499999999999,0.0065,0.0085,0.081,0.0084,95607000.0,-4940500.0,-0.8319
50%,0.4968,125792000.0,206124000.0,0.0506,0.1008,0.8242,0.0316,1.882,8.4869,1.0571,98895000.0,88719000.0,9695000.0,194.0,37.2,7.8,92.0,158.91,0.0218,0.0238,0.3018,0.0232,182720000.0,3655000.0,-0.064
75%,0.6545,247465000.0,373679500.0,0.16875,0.25305,1.0071,0.1359,2.8891,23.45015,1.2312,201259000.0,183133500.0,27439000.0,308.0,80.1,23.6,155.0,267.77,0.0579,0.0515,0.76315,0.0489,337187500.0,23592000.0,0.5193
max,0.9998,1157817000.0,1355572000.0,0.694,1.4281,3.4615,1.3019,10.2449,581.6032,4.6385,1011269000.0,865175000.0,363593000.0,2247.0,861.8,595.4,1359.0,8449.57,0.4555,0.5586,10.1934,0.3584,1274842000.0,397163000.0,72.3031
skewness,0.06265210035810388,1.5571972030726164,1.3653894440813585,0.5380916947561487,1.8163918787878948,1.052626574833292,-0.7341103848914293,1.4094134282346595,3.3298072552691202,2.4048960350779804,1.6609849015289384,1.732475187349316,2.8008340595952674,2.3316884727741174,2.863066534748446,4.465743116224658,2.6611627687307413,8.880957393569899,1.6332292010431473,0.9527545572071202,1.5065432962596474,-0.35861316153752526,1.4224020468159606,1.190944387821867,1.1500770264991274
kurtosis,-0.7306484598826462,2.5805059125344414,1.7257930183466046,0.8652896484343846,3.6582619412100215,2.8310771226984848,4.7816246684770425,2.387064306684933,27.917182005403664,8.304704263058756,2.9333006556731682,3.2912332106197573,11.392672978010157,7.939487064048955,12.015981870219477,32.53364223950508,11.229153710958226,153.19606724272396,5.686598100584978,6.759841911015838,11.757745956147073,7.71392426980158,1.9554244327658292,8.417878714445248,28.015350852851288
